Product ID,Name,Unit Price,Stock Quantity,Description
AUTO001,Starter Motor,243.69,50,High-quality Starter Motor designed for durability and performance.
AUTO002,Tailgate Handle,918.04,14,High-quality Tailgate Handle designed for durability and performance.
AUTO003,Roll Cage,807.14,89,High-quality Roll Cage designed for durability and performance.
AUTO004,Big Brake Kit,195.9,9,High-quality Big Brake Kit designed for durability and performance.
AUTO005,Brake Pads,69.76,17,High-quality Brake Pads designed for durability and performance.
AUTO006,All-Terrain Tires,171.2,33,High-quality All-Terrain Tires designed for durability and performance.
AUTO007,PCV Valve,608.62,16,High-quality PCV Valve designed for durability and performance.
AUTO008,Oil Filter,439.42,66,High-quality Oil Filter designed for durability and performance.
AUTO009,Side Mirror,81.77,40,High-quality Side Mirror designed for durability and performance.
AUTO010,Underbody Lights,690.48,28,High-quality Underbody Lights designed for durability and performance.
AUTO011,Sway Bar Link,772.26,39,High-quality Sway Bar Link designed for durability and performance.
AUTO012,Power Steering Pump,740.41,5,High-quality Power Steering Pump designed for durability and performance.
AUTO013,Tow Hook,754.61,65,High-quality Tow Hook designed for durability and performance.
AUTO014,Shock Absorbers,121.87,98,High-quality Shock Absorbers designed for durability and performance.
AUTO015,Window Regulator,49.3,17,High-quality Window Regulator designed for durability and performance.
AUTO016,Custom Wheels,725.34,63,High-quality Custom Wheels designed for durability and performance.
AUTO017,Trunk Lock,872.87,80,High-quality Trunk Lock designed for durability and performance.
AUTO018,Clutch Kit,192.32,18,High-quality Clutch Kit designed for durability and performance.
AUTO019,Oil Filter,898.53,73,High-quality Oil Filter designed for durability and performance.
AUTO020,Intercooler,208.63,56,High-quality Intercooler designed for durability and performance.
AUTO021,Nerf Bars,871.31,82,High-quality Nerf Bars designed for durability and performance.
AUTO022,Radar Detector,883.02,50,High-quality Radar Detector designed for durability and performance.
AUTO023,LED Light Bar,570.79,1,High-quality LED Light Bar designed for durability and performance.
AUTO024,Trunk Lock,129.33,100,High-quality Trunk Lock designed for durability and performance.
AUTO025,Seat Covers,212.9,50,High-quality Seat Covers designed for durability and performance.
AUTO026,Tailgate Handle,657.6,97,High-quality Tailgate Handle designed for durability and performance.
AUTO027,Control Arm,892.28,39,High-quality Control Arm designed for durability and performance.
AUTO028,Engine Oil,43.02,74,High-quality Engine Oil designed for durability and performance.
AUTO029,Transmission Fluid,821.43,54,High-quality Transmission Fluid designed for durability and performance.
AUTO030,Engine Mount,595.66,49,High-quality Engine Mount designed for durability and performance.
AUTO031,Grille,452.19,4,High-quality Grille designed for durability and performance.
